voteratio,NtoA_ratio,NtoB_ratio,AtoB_ratio,BtoA_ratio,A得票率,B得票率,逆転,投票率
50.93,21.63,78.37,3.44,2.76,52.63,47.37,0,75.46
44.43,21.71,78.29,5.45,1.17,52.75,47.25,0,72.22
44.07,16.99,83.01,0.57,3.91,54.32,45.68,0,72.04
44.22,16.13,83.87,2.36,1.55,52.66,47.34,0,72.11
41.81,21.47,78.53,0.68,3.28,56.05,43.95,0,70.9
56.99,21.97,78.03,4.44,2.6,51.08,48.92,0,78.5
46.17,16.9,83.1,9.05,2.52,49.41,50.59,1,73.08
57.6,24.89,75.11,0.59,4.48,54.1,45.9,0,78.8
57.49,16.79,83.21,9.43,4.63,47.27,52.73,1,78.75
45.4,20.77,79.23,6.24,4.38,52.52,47.48,0,72.7
48.42,23.78,76.22,2.52,3.74,54.49,45.51,0,74.21
44.03,19.14,80.86,1.43,2.99,54.38,45.62,0,72.02
41.37,15.49,84.51,3.02,3.08,53.21,46.79,0,70.68
47.19,18.09,81.91,7.03,1.44,50.31,49.69,0,73.59
58.33,16.41,83.59,3.81,3.51,49.24,50.76,1,79.17
59.34,16.65,83.35,1.83,0.93,49.5,50.5,1,79.67
54.63,15.42,84.58,4.18,1.15,49.05,50.95,1,77.32
55.36,17.25,82.75,2.38,4.47,50.99,49.01,0,77.68
51.37,15.73,84.27,5.06,1.93,49.63,50.37,1,75.68
57.59,24.0,76.0,0.74,0.7,52.99,47.01,0,78.79
57.6,18.63,81.37,1.91,3.92,51.12,48.88,0,78.8
55.48,19.12,80.88,8.72,0.4,48.0,52.0,1,77.74
47.41,16.58,83.42,5.39,2.97,50.87,49.13,0,73.71
53.04,18.72,81.28,2.68,4.87,51.96,48.04,0,76.52
47.54,24.54,75.46,0.95,1.76,55.26,44.74,0,73.77
50.38,21.0,79.0,1.16,4.24,53.89,46.11,0,75.19
45.64,20.32,79.68,7.1,4.49,51.94,48.06,0,72.82
56.78,24.49,75.51,8.32,0.48,49.9,50.1,1,78.39
43.52,20.76,79.24,4.6,1.42,53.12,46.88,0,71.76
40.03,15.18,84.82,5.9,3.73,52.18,47.82,0,70.01
54.15,22.13,77.87,2.58,3.35,52.66,47.34,0,77.08
49.62,21.78,78.22,0.27,0.97,54.08,45.92,0,74.81
50.81,21.92,78.08,6.3,4.37,51.75,48.25,0,75.4
40.86,24.22,75.78,4.56,0.08,54.47,45.53,0,70.43
44.6,21.38,78.62,1.11,4.46,55.39,44.61,0,72.3
45.12,23.5,76.5,7.41,3.91,52.77,47.23,0,72.56
57.56,16.96,83.04,6.51,4.24,48.54,51.46,1,78.78
50.59,18.23,81.77,1.96,0.54,51.8,48.2,0,75.3
59.73,15.36,84.64,5.04,3.94,48.1,51.9,1,79.87
42.92,23.88,76.12,1.67,3.03,55.97,44.03,0,71.46
54.43,21.34,78.66,6.68,1.82,50.17,49.83,0,77.22
53.0,20.11,79.89,1.37,3.55,52.79,47.21,0,76.5
47.8,20.16,79.84,6.82,3.52,51.36,48.64,0,73.9
42.29,22.92,77.08,3.26,1.6,54.74,45.26,0,71.15
59.19,20.86,79.14,2.49,0.79,50.78,49.22,0,79.6
51.99,18.85,81.15,3.08,2.87,51.65,48.35,0,76.0
50.01,15.52,84.48,5.31,0.62,49.49,50.51,1,75.0
48.88,16.67,83.33,3.83,4.65,51.63,48.37,0,74.44
48.61,24.17,75.83,1.55,1.83,54.65,45.35,0,74.3
46.9,15.77,84.23,6.96,4.25,50.24,49.76,0,73.45
55.65,19.98,80.02,0.72,4.26,52.61,47.39,0,77.82
51.83,16.71,83.29,4.74,0.25,49.67,50.33,1,75.91
43.68,20.06,79.94,4.92,0.81,52.59,47.41,0,71.84
43.58,15.85,84.15,0.11,1.53,53.83,46.17,0,71.79
40.96,16.51,83.49,0.62,4.65,55.14,44.86,0,70.48
47.76,23.02,76.98,1.96,1.33,54.16,45.84,0,73.88
40.48,22.9,77.1,8.36,2.84,52.87,47.13,0,70.24
57.85,18.52,81.48,8.78,3.58,47.92,52.08,1,78.93
41.28,15.85,84.15,5.18,1.11,51.85,48.15,0,70.64
45.36,16.51,83.49,5.17,4.38,51.73,48.27,0,72.68
46.49,22.59,77.41,5.97,3.05,52.73,47.27,0,73.25
52.81,17.04,82.96,3.06,3.79,51.04,48.96,0,76.4
49.36,23.28,76.72,0.65,3.04,54.87,45.13,0,74.68
50.61,21.61,78.39,3.41,0.79,52.31,47.69,0,75.3
46.4,18.1,81.9,3.8,2.11,52.17,47.83,0,73.2
42.91,21.96,78.04,7.47,0.33,51.99,48.01,0,71.45
48.79,24.4,75.6,2.61,2.6,54.34,45.66,0,74.4
57.85,20.83,79.17,4.14,2.21,50.56,49.44,0,78.93
46.9,17.75,82.25,7.3,2.1,50.27,49.73,0,73.45
40.89,22.25,77.75,7.5,2.99,53.05,46.95,0,70.45
52.56,16.65,83.35,3.25,0.31,50.19,49.81,0,76.28
48.42,16.19,83.81,6.94,4.17,50.02,49.98,0,74.21
49.56,19.01,80.99,5.19,2.54,51.18,48.82,0,74.78
52.95,23.27,76.73,0.96,1.53,53.68,46.32,0,76.47
58.47,19.2,80.8,6.25,1.03,48.69,51.31,1,79.24
55.57,19.51,80.49,7.22,0.0,48.71,51.29,1,77.78
46.78,19.42,80.58,3.22,0.91,52.53,47.47,0,73.39
49.92,21.57,78.43,3.11,2.48,52.92,47.08,0,74.96
42.57,22.4,77.6,5.92,4.8,53.89,46.11,0,71.29
40.24,24.21,75.79,0.43,2.19,57.12,42.88,0,70.12
41.56,22.9,77.1,2.01,3.68,55.96,44.04,0,70.78
54.91,19.95,80.05,1.17,3.87,52.48,47.52,0,77.45
59.23,19.74,80.26,1.28,1.6,51.04,48.96,0,79.62
54.23,16.0,84.0,2.96,3.46,50.34,49.66,0,77.12
42.51,19.11,80.89,3.65,2.04,53.46,46.54,0,71.25
53.76,19.05,80.95,8.6,3.78,49.01,50.99,1,76.88
53.07,17.52,82.48,3.3,3.28,50.94,49.06,0,76.54
49.5,22.91,77.09,6.96,2.74,51.7,48.3,0,74.75
48.12,17.29,82.71,3.08,4.78,52.39,47.61,0,74.06
59.23,16.01,83.99,4.12,3.94,48.84,51.16,1,79.62
57.53,19.71,80.29,9.77,0.09,47.31,52.69,1,78.76
55.97,21.22,78.78,9.84,0.12,48.1,51.9,1,77.98
42.47,19.66,80.34,2.23,4.42,54.83,45.17,0,71.23
45.92,18.09,81.91,4.46,4.13,52.37,47.63,0,72.96
52.33,19.38,80.62,4.54,4.51,51.41,48.59,0,76.17
51.85,24.13,75.87,8.75,2.23,50.74,49.26,0,75.92
40.51,18.82,81.18,6.57,4.08,52.85,47.15,0,70.25
43.16,23.26,76.74,5.16,1.36,53.67,46.33,0,71.58
47.89,19.1,80.9,0.04,1.39,53.78,46.22,0,73.94
45.15,22.3,77.7,0.67,4.05,55.67,44.33,0,72.58
41.84,22.75,77.25,7.75,3.06,52.88,47.12,0,70.92
58.32,16.4,83.6,5.76,3.11,48.3,51.7,1,79.16
54.09,19.92,80.08,0.66,1.24,52.36,47.64,0,77.05
57.49,23.1,76.9,7.15,4.57,50.58,49.42,0,78.74
42.9,19.36,80.64,0.37,0.98,54.82,45.18,0,71.45
57.97,21.74,78.26,3.15,0.55,51.0,49.0,0,78.99
59.66,15.17,84.83,4.15,2.92,48.24,51.76,1,79.83
48.67,16.07,83.93,4.21,4.12,51.2,48.8,0,74.34
51.25,19.1,80.9,8.39,2.03,49.27,50.73,1,75.63
57.24,22.97,77.03,8.02,0.33,49.37,50.63,1,78.62
51.26,17.97,82.03,1.79,2.12,51.96,48.04,0,75.63
41.03,23.46,76.54,5.03,1.16,54.21,45.79,0,70.52
48.18,22.97,77.03,4.91,0.34,52.46,47.54,0,74.09
42.0,23.83,76.17,1.74,4.14,56.36,43.64,0,71.0
48.91,20.83,79.17,8.27,3.37,50.64,49.36,0,74.46
49.17,15.26,84.74,9.88,1.26,47.57,52.43,1,74.59
52.38,17.62,82.38,2.1,1.05,51.24,48.76,0,76.19
55.28,21.92,78.08,2.41,3.95,52.56,47.44,0,77.64
51.02,22.7,77.3,7.66,0.08,50.49,49.51,0,75.51
42.52,16.69,83.31,4.0,4.84,53.15,46.85,0,71.26
44.82,15.68,84.32,3.51,0.6,51.61,48.39,0,72.41
41.09,16.94,83.06,3.67,3.13,53.39,46.61,0,70.54
54.09,16.26,83.74,3.6,1.73,49.84,50.16,1,77.04
48.65,22.06,77.94,3.34,3.49,53.44,46.56,0,74.33
40.96,23.06,76.94,3.03,0.43,54.95,45.05,0,70.48
57.07,22.4,77.6,4.41,3.4,51.39,48.61,0,78.54
51.01,18.55,81.45,7.37,0.93,49.39,50.61,1,75.5
52.45,19.93,80.07,0.12,3.06,53.32,46.68,0,76.23
52.03,16.0,84.0,3.22,2.69,50.57,49.43,0,76.02
56.28,20.55,79.45,4.29,0.53,50.37,49.63,0,78.14
54.6,17.53,82.47,2.84,4.22,51.0,49.0,0,77.3
43.01,21.23,78.77,8.28,2.12,51.73,48.27,0,71.51
40.15,22.15,77.85,7.46,1.68,52.93,47.07,0,70.08
51.8,21.68,78.32,6.9,1.98,50.72,49.28,0,75.9
41.64,23.74,76.26,2.51,3.34,55.87,44.13,0,70.82
40.42,17.22,82.78,7.28,3.49,51.92,48.08,0,70.21
53.46,15.38,84.62,5.1,2.64,49.17,50.83,1,76.73
45.96,20.25,79.75,9.78,3.88,50.44,49.56,0,72.98
57.43,22.17,77.83,7.15,3.92,50.12,49.88,0,78.71
51.73,22.99,77.01,1.84,2.36,53.59,46.41,0,75.87
46.86,18.1,81.9,0.37,3.28,53.93,46.07,0,73.43
57.81,23.43,76.57,5.9,0.3,50.38,49.62,0,78.9
41.86,16.08,83.92,7.59,0.09,50.36,49.64,0,70.93
59.11,16.4,83.6,7.92,1.69,46.92,53.08,1,79.56
40.24,22.63,77.37,4.27,4.08,55.15,44.85,0,70.12
51.48,19.04,80.96,6.08,1.92,50.25,49.75,0,75.74
52.95,17.37,82.63,9.82,1.01,47.48,52.52,1,76.47
45.32,20.44,79.56,2.34,0.62,53.54,46.46,0,72.66
52.58,23.79,76.21,3.2,4.28,53.45,46.55,0,76.29
43.55,23.18,76.82,6.25,2.55,53.28,46.72,0,71.78
48.61,21.17,78.83,8.64,4.59,50.88,49.12,0,74.31
58.9,19.42,80.58,9.33,0.68,47.27,52.73,1,79.45
49.2,24.47,75.53,4.73,4.02,53.58,46.42,0,74.6
54.26,22.64,77.36,8.73,4.17,50.19,49.81,0,77.13
49.56,20.32,79.68,1.33,3.32,53.58,46.42,0,74.78
46.55,24.61,75.39,2.74,1.33,54.55,45.45,0,73.27
54.32,15.79,84.21,0.8,1.97,50.94,49.06,0,77.16
49.92,22.95,77.05,6.05,3.49,52.21,47.79,0,74.96
51.89,23.04,76.96,6.44,0.41,51.07,48.93,0,75.94
41.48,21.62,78.38,2.93,1.21,54.62,45.38,0,70.74
59.53,17.71,82.29,8.3,3.4,47.48,52.52,1,79.77
40.58,19.52,80.48,2.8,2.15,54.49,45.51,0,70.29
54.85,24.11,75.89,7.63,0.93,50.47,49.53,0,77.43
51.49,22.33,77.67,9.71,3.44,49.99,50.01,1,75.75
53.58,18.79,81.21,1.06,3.48,52.33,47.67,0,76.79
42.13,20.76,79.24,2.03,2.44,54.92,45.08,0,71.06
49.26,18.14,81.86,8.49,2.74,49.45,50.55,1,74.63
48.7,20.92,79.08,5.78,2.57,51.72,48.28,0,74.35
49.04,23.76,76.24,9.59,3.93,51.07,48.93,0,74.52
49.62,17.47,82.53,0.34,1.29,52.68,47.32,0,74.81
42.64,18.95,81.05,8.28,2.69,51.24,48.76,0,71.32
58.46,15.81,84.19,8.93,0.06,46.07,53.93,1,79.23
53.44,15.07,84.93,9.34,0.06,46.62,53.38,1,76.72
45.54,19.99,80.01,6.08,4.99,52.46,47.54,0,72.77
57.77,22.69,77.31,3.65,2.08,51.45,48.55,0,78.89
41.38,15.23,84.77,8.67,2.03,50.1,49.9,0,70.69
46.61,19.16,80.84,9.75,1.43,49.47,50.53,1,73.3
43.21,23.5,76.5,3.25,2.62,54.93,45.07,0,71.6
56.27,23.05,76.95,3.61,1.69,51.8,48.2,0,78.13
51.91,16.08,83.92,2.31,1.69,50.84,49.16,0,75.95
54.8,21.34,78.66,4.24,4.57,51.74,48.26,0,77.4
47.84,21.89,78.11,4.41,2.74,52.9,47.1,0,73.92
57.52,17.71,82.29,8.92,4.23,47.75,52.25,1,78.76
52.71,17.76,82.24,2.48,1.29,51.09,48.91,0,76.35
58.54,16.06,83.94,4.09,4.44,49.11,50.89,1,79.27
41.64,18.52,81.48,2.42,2.03,54.1,45.9,0,70.82
56.23,23.87,76.13,5.58,4.76,51.81,48.19,0,78.11
46.66,15.61,84.39,5.04,2.69,50.84,49.16,0,73.33
59.3,15.17,84.83,3.09,4.71,49.12,50.88,1,79.65
59.08,15.11,84.89,6.34,0.2,46.86,53.14,1,79.54
44.38,19.74,80.26,3.47,1.05,53.09,46.91,0,72.19
47.71,24.96,75.04,0.43,1.26,55.5,44.5,0,73.85
59.38,17.83,82.17,6.37,0.21,47.8,52.2,1,79.69
44.91,23.31,76.69,0.3,3.93,56.2,43.8,0,72.46
59.93,17.11,82.89,7.62,4.59,47.71,52.29,1,79.97
59.17,22.99,77.01,3.62,4.38,51.76,48.24,0,79.58
53.21,18.85,81.15,5.09,1.32,50.17,49.83,0,76.61
49.59,19.14,80.86,6.01,1.5,50.63,49.37,0,74.79
54.34,18.48,81.52,2.24,1.8,51.2,48.8,0,77.17
41.84,22.44,77.56,0.46,4.37,56.67,43.33,0,70.92
50.26,21.18,78.82,2.42,4.87,53.52,46.48,0,75.13
52.97,21.76,78.24,9.63,1.42,49.16,50.84,1,76.48
40.96,23.11,76.89,8.15,4.99,53.39,46.61,0,70.48
45.7,16.6,83.4,5.99,3.54,51.1,48.9,0,72.85
50.91,17.56,82.44,0.43,0.95,52.3,47.7,0,75.46
57.4,22.56,77.44,7.77,4.73,50.15,49.85,0,78.7
44.64,16.16,83.84,9.27,1.13,49.13,50.87,1,72.32
53.81,23.16,76.84,7.11,3.74,51.11,48.89,0,76.91
42.35,17.34,82.66,1.89,2.72,53.98,46.02,0,71.17
56.62,17.19,82.81,0.63,2.56,51.12,48.88,0,78.31
53.37,22.34,77.66,6.15,2.21,51.04,48.96,0,76.68
49.23,19.74,80.26,4.15,4.73,52.42,47.58,0,74.62
55.33,24.13,75.87,0.68,3.74,54.07,45.93,0,77.67
47.98,17.62,82.38,0.02,2.41,53.5,46.5,0,73.99
45.11,24.6,75.4,8.27,0.65,52.03,47.97,0,72.56
44.51,17.43,82.57,5.57,3.8,51.9,48.1,0,72.26
52.7,19.89,80.11,8.61,3.6,49.46,50.54,1,76.35
59.64,19.73,80.27,7.89,4.88,48.68,51.32,1,79.82
43.06,18.36,81.64,6.91,4.63,52.04,47.96,0,71.53
58.33,23.9,76.1,2.91,2.68,52.24,47.76,0,79.16
49.36,22.05,77.95,1.58,2.95,54.01,45.99,0,74.68
51.01,23.0,77.0,9.94,1.87,49.88,50.12,1,75.5
47.04,20.1,79.9,0.03,4.41,54.92,45.08,0,73.52
49.62,21.33,78.67,9.28,0.35,49.58,50.42,1,74.81
41.11,20.5,79.5,5.41,0.54,53.01,46.99,0,70.55
59.13,24.86,75.14,2.09,3.13,52.9,47.1,0,79.56
56.44,24.32,75.68,0.24,2.82,53.95,46.05,0,78.22
47.69,19.86,80.14,9.43,2.52,49.85,50.15,1,73.84
50.85,16.51,83.49,7.79,3.77,49.1,50.9,1,75.42
42.29,22.45,77.55,4.01,0.75,54.05,45.95,0,71.14
50.12,22.92,77.08,6.98,2.56,51.54,48.46,0,75.06
44.8,18.01,81.99,9.32,3.46,50.13,49.87,0,72.4
56.88,24.07,75.93,7.93,4.79,50.72,49.28,0,78.44
59.36,18.81,81.19,5.56,3.31,49.11,50.89,1,79.68
51.99,19.61,80.39,7.45,0.8,49.49,50.51,1,76.0
53.9,15.02,84.98,8.48,0.68,47.02,52.98,1,76.95
40.83,15.84,84.16,6.81,4.64,51.9,48.1,0,70.41
56.0,20.66,79.34,6.61,4.54,50.19,49.81,0,78.0
50.09,21.36,78.64,9.15,3.55,50.21,49.79,0,75.04
59.01,22.95,77.05,4.46,0.43,50.66,49.34,0,79.5
45.94,19.04,80.96,4.34,1.71,52.23,47.77,0,72.97
42.34,19.48,80.52,4.61,1.76,53.08,46.92,0,71.17
53.43,15.73,84.27,1.25,4.91,51.49,48.51,0,76.71
58.33,16.72,83.28,2.51,3.6,49.94,50.06,1,79.16
57.53,15.68,84.32,8.37,0.39,46.52,53.48,1,78.76
43.06,22.19,77.81,8.95,3.72,52.01,47.99,0,71.53
57.49,21.4,78.6,2.3,2.88,51.79,48.21,0,78.75
42.07,18.49,81.51,7.42,1.84,51.48,48.52,0,71.03
52.58,15.43,84.57,5.75,0.98,48.75,51.25,1,76.29
55.38,20.07,79.93,6.64,2.98,49.79,50.21,1,77.69
50.78,18.9,81.1,8.58,1.6,49.13,50.87,1,75.39
49.44,19.81,80.19,2.89,3.66,52.78,47.22,0,74.72
44.05,23.22,76.78,5.59,4.63,53.94,46.06,0,72.03
47.42,17.23,82.77,9.48,1.22,48.77,51.23,1,73.71
52.47,22.48,77.52,2.28,3.1,53.21,46.79,0,76.23
56.77,16.15,83.85,9.91,3.18,46.68,53.32,1,78.39
42.84,19.81,80.19,4.43,4.89,53.8,46.2,0,71.42
43.33,24.52,75.48,6.13,4.77,54.26,45.74,0,71.67
47.09,20.91,79.09,8.92,0.73,50.19,49.81,0,73.54
46.11,16.28,83.72,2.82,4.56,52.63,47.37,0,73.06
59.52,22.9,77.1,8.46,0.65,48.83,51.17,1,79.76
56.53,22.68,77.32,4.1,4.99,52.03,47.97,0,78.27
57.23,22.9,77.1,5.95,4.57,51.08,48.92,0,78.61
43.25,20.89,79.11,6.98,0.13,51.79,48.21,0,71.62
54.68,17.31,82.69,4.57,2.75,49.84,50.16,1,77.34
40.27,17.51,82.49,9.16,0.92,50.56,49.44,0,70.13
56.8,19.78,80.22,7.58,4.35,49.25,50.75,1,78.4
52.29,15.2,84.8,8.37,0.4,47.42,52.58,1,76.15
42.85,24.82,75.18,5.09,1.65,54.3,45.7,0,71.42
53.41,22.93,77.07,3.81,4.18,52.69,47.31,0,76.7
47.0,17.45,82.55,9.0,1.0,49.11,50.89,1,73.5
49.53,17.85,82.15,7.11,3.28,50.05,49.95,0,74.77
49.8,16.23,83.77,0.96,3.06,52.29,47.71,0,74.9
47.03,15.68,84.32,0.31,1.0,52.68,47.32,0,73.52
52.9,24.45,75.55,5.88,2.65,52.07,47.93,0,76.45
45.23,22.1,77.9,2.74,1.51,54.07,45.93,0,72.61
40.05,18.59,81.41,1.18,0.86,54.89,45.11,0,70.03
43.11,24.22,75.78,2.73,3.33,55.57,44.43,0,71.56
43.42,23.99,76.01,6.48,2.24,53.38,46.62,0,71.71
40.46,15.36,84.64,5.31,0.87,51.8,48.2,0,70.23
58.58,23.15,76.85,3.62,0.03,51.1,48.9,0,79.29
53.28,16.12,83.88,9.0,3.51,47.85,52.15,1,76.64
46.07,18.07,81.93,6.41,0.16,50.58,49.42,0,73.04
59.89,15.59,84.41,5.44,1.83,47.58,52.42,1,79.94
51.61,22.4,77.6,2.22,1.04,52.98,47.02,0,75.81
55.15,22.38,77.62,6.37,1.55,50.5,49.5,0,77.57
48.74,19.44,80.56,4.83,3.16,51.8,48.2,0,74.37
42.22,22.31,77.69,7.06,1.42,52.67,47.33,0,71.11
47.36,16.76,83.24,6.62,3.18,50.39,49.61,0,73.68
53.55,19.8,80.2,0.04,4.3,53.31,46.69,0,76.77
42.93,22.52,77.48,3.51,2.19,54.48,45.52,0,71.46
47.78,15.29,84.71,4.06,0.74,50.54,49.46,0,73.89
59.95,18.31,81.69,3.39,4.19,49.93,50.07,1,79.98
43.3,22.96,77.04,8.44,4.84,52.68,47.32,0,71.65
43.73,21.57,78.43,3.47,1.48,53.88,46.12,0,71.86
54.08,22.16,77.84,1.9,1.12,52.57,47.43,0,77.04
59.23,19.88,80.12,4.08,1.17,49.78,50.22,1,79.61
50.42,24.95,75.05,4.79,0.45,52.76,47.24,0,75.21
58.45,16.07,83.93,5.94,1.68,47.8,52.2,1,79.22
55.58,21.05,78.95,7.18,4.38,50.13,49.87,0,77.79
48.25,24.61,75.39,4.48,4.84,54.09,45.91,0,74.13
49.53,19.39,80.61,8.5,2.22,49.7,50.3,1,74.77
53.94,17.48,82.52,9.34,3.83,48.1,51.9,1,76.97
53.05,23.42,76.58,8.72,0.62,49.99,50.01,1,76.53
42.5,22.74,77.26,7.78,2.41,52.59,47.41,0,71.25
53.75,20.78,79.22,8.25,1.16,49.26,50.74,1,76.87
41.89,18.01,81.99,6.29,2.33,52.04,47.96,0,70.95
53.7,22.77,77.23,6.33,2.83,51.17,48.83,0,76.85
56.64,16.3,83.7,2.41,1.25,49.75,50.25,1,78.32
46.44,20.14,79.86,0.27,4.66,55.01,44.99,0,73.22
47.83,21.69,78.31,2.8,0.47,53.14,46.86,0,73.91
41.44,16.45,83.55,8.34,1.3,50.46,49.54,0,70.72
44.34,24.89,75.11,6.83,4.54,53.77,46.23,0,72.17
48.13,20.66,79.34,5.5,1.61,51.7,48.3,0,74.06
43.59,16.46,83.54,2.36,3.44,53.32,46.68,0,71.79
54.16,24.53,75.47,2.97,4.75,53.6,46.4,0,77.08
47.77,17.5,82.5,5.87,0.03,50.25,49.75,0,73.89
45.91,17.96,82.04,1.1,5.0,54.13,45.87,0,72.95
44.96,17.3,82.7,7.3,1.33,50.4,49.6,0,72.48
44.63,19.57,80.43,7.55,1.22,51.04,48.96,0,72.31
47.76,22.77,77.23,9.79,0.02,50.1,49.9,0,73.88
56.08,18.14,81.86,0.36,0.83,51.36,48.64,0,78.04
55.45,24.54,75.46,6.55,0.74,50.98,49.02,0,77.73
56.79,18.99,81.01,0.28,3.74,52.11,47.89,0,78.39
42.75,23.6,76.4,2.46,1.43,55.2,44.8,0,71.38
43.55,16.84,83.16,6.94,3.04,51.12,48.88,0,71.77
44.56,17.47,82.53,6.54,1.37,50.93,49.07,0,72.28
58.95,17.08,82.92,9.88,4.2,46.82,53.18,1,79.47
56.93,20.44,79.56,1.3,0.32,51.5,48.5,0,78.46
44.53,16.49,83.51,5.8,2.13,51.15,48.85,0,72.27
56.34,17.82,82.18,1.68,1.81,50.79,49.21,0,78.17
58.71,15.24,84.76,0.2,3.03,50.23,49.77,0,79.35
49.98,20.4,79.6,3.84,2.6,52.2,47.8,0,74.99
46.41,24.3,75.7,0.77,2.32,55.62,44.38,0,73.21
53.03,23.25,76.75,6.27,0.12,50.96,49.04,0,76.51
47.84,15.45,84.55,7.63,3.0,49.34,50.66,1,73.92
49.29,21.83,78.17,2.22,4.49,53.96,46.04,0,74.64
47.49,16.61,83.39,2.43,1.16,51.89,48.11,0,73.74
52.49,20.1,79.9,6.73,4.05,50.53,49.47,0,76.24
51.21,17.88,82.12,8.12,3.73,49.33,50.67,1,75.61
42.23,18.96,81.04,3.99,3.04,53.53,46.47,0,71.12
57.96,22.06,77.94,4.66,1.12,50.56,49.44,0,78.98
41.1,18.18,81.82,1.91,3.97,54.8,45.2,0,70.55
57.94,19.13,80.87,5.86,2.43,49.2,50.8,1,78.97
45.84,23.27,76.73,3.32,1.32,53.99,46.01,0,72.92
48.19,19.27,80.73,7.91,4.69,50.72,49.28,0,74.09
54.74,22.9,77.1,6.0,4.41,51.48,48.52,0,77.37
52.63,23.16,76.84,7.64,2.64,50.86,49.14,0,76.31
52.59,23.47,76.53,0.19,2.6,54.39,45.61,0,76.3
48.28,18.08,81.92,5.37,4.3,51.43,48.57,0,74.14
41.63,22.77,77.23,0.3,4.28,56.87,43.13,0,70.81
45.51,23.38,76.62,8.29,3.65,52.18,47.82,0,72.76
50.82,19.29,80.71,3.31,1.11,51.6,48.4,0,75.41
40.67,18.89,81.11,0.22,0.88,55.3,44.7,0,70.33
53.85,15.45,84.55,8.05,1.18,47.47,52.53,1,76.92
49.71,23.15,76.85,4.31,0.51,52.53,47.47,0,74.86
42.49,23.77,76.23,0.05,1.61,56.53,43.47,0,71.24
54.77,17.05,82.95,6.41,0.32,48.43,51.57,1,77.39
44.86,22.21,77.79,8.13,3.86,52.07,47.93,0,72.43
48.22,17.85,82.15,2.38,3.4,52.6,47.4,0,74.11
56.43,15.08,84.92,3.43,4.71,49.55,50.45,1,78.22
42.74,18.67,81.33,7.82,4.59,51.76,48.24,0,71.37
55.03,21.16,78.84,6.38,2.35,50.24,49.76,0,77.51
54.86,18.61,81.39,6.81,0.67,48.84,51.16,1,77.43
46.56,20.6,79.4,6.02,2.89,52.02,47.98,0,73.28
50.11,20.22,79.78,1.36,0.26,52.8,47.2,0,75.06
44.48,24.49,75.51,4.62,1.78,54.12,45.88,0,72.24
52.61,21.88,78.12,0.18,0.02,53.33,46.67,0,76.31
59.47,23.98,76.02,7.97,2.5,49.81,50.19,1,79.73
49.84,16.03,83.97,3.14,3.24,51.23,48.77,0,74.92
46.14,18.69,81.31,3.4,4.47,53.09,46.91,0,73.07
58.1,19.24,80.76,6.2,1.7,48.92,51.08,1,79.05
53.65,23.25,76.75,0.53,3.22,54.07,45.93,0,76.83
51.89,23.67,76.33,2.43,1.16,53.28,46.72,0,75.94
48.28,22.26,77.74,5.64,3.24,52.45,47.55,0,74.14
57.84,18.28,81.72,4.39,2.74,49.62,50.38,1,78.92
42.95,19.58,80.42,6.14,3.65,52.61,47.39,0,71.47
56.0,15.67,84.33,6.81,4.8,48.36,51.64,1,78.0
50.03,22.58,77.42,3.89,2.17,52.8,47.2,0,75.02
57.25,19.25,80.75,3.0,4.71,51.08,48.92,0,78.62
48.19,21.38,78.62,4.39,4.36,53.0,47.0,0,74.1
59.06,23.85,76.15,4.21,0.47,51.1,48.9,0,79.53
54.79,19.46,80.54,8.51,0.0,48.26,51.74,1,77.39
53.29,22.17,77.83,3.41,0.75,51.96,48.04,0,76.64
55.22,16.55,83.45,5.65,4.61,49.33,50.67,1,77.61
55.54,24.11,75.89,1.07,0.88,53.3,46.7,0,77.77
55.25,19.89,80.11,6.92,3.68,49.76,50.24,1,77.63
45.65,22.59,77.41,8.22,3.16,51.84,48.16,0,72.83
49.71,16.98,83.02,8.4,2.1,48.89,51.11,1,74.86
48.92,23.51,76.49,5.38,3.55,52.92,47.08,0,74.46
58.61,16.03,83.97,0.27,3.07,50.52,49.48,0,79.31
45.49,23.73,76.27,0.31,4.63,56.33,43.67,0,72.75
59.9,20.2,79.8,6.18,4.23,49.43,50.57,1,79.95
59.66,22.03,77.97,1.49,3.36,52.05,47.95,0,79.83
56.58,16.26,83.74,5.05,0.45,48.41,51.59,1,78.29
48.82,17.72,82.28,9.04,1.87,48.97,51.03,1,74.41
58.04,16.51,83.49,4.39,2.15,48.82,51.18,1,79.02
54.79,22.26,77.74,4.27,2.97,51.75,48.25,0,77.4
44.62,21.86,78.14,1.92,1.21,54.47,45.53,0,72.31
56.24,17.56,82.44,1.48,3.92,51.22,48.78,0,78.12
49.2,15.44,84.56,4.32,4.36,50.86,49.14,0,74.6
51.41,19.71,80.29,4.71,1.76,51.09,48.91,0,75.71
41.56,19.32,80.68,3.59,3.38,54.06,45.94,0,70.78
40.92,20.59,79.41,2.26,4.13,55.41,44.59,0,70.46
46.14,21.6,78.4,9.55,4.58,51.08,48.92,0,73.07
42.52,17.55,82.45,6.61,2.9,51.72,48.28,0,71.26
48.1,23.59,76.41,2.69,0.25,53.71,46.29,0,74.05
48.5,15.39,84.61,1.78,4.84,52.31,47.69,0,74.25
44.73,21.15,78.85,8.51,1.42,51.08,48.92,0,72.37
47.02,17.84,82.16,9.05,3.81,49.79,50.21,1,73.51
